Common name,Scientific name,Order,Family,95% Lower CI,Abundance estimate,95% Upper CI,Range adjusted,Training species
Semipalmated Plover,Charadrius semipalmatus,Charadriiformes,Charadriidae (Plovers and Lapwings),531490,37778520,2819897342,TRUE,FALSE
European Bee-eater,Merops apiaster,Coraciiformes,Meropidae (Bee-eaters),450246,37493203,2764628702,TRUE,FALSE
Northern Fulmar,Fulmarus glacialis,Procellariiformes,Procellariidae (Shearwaters and Petrels),483575,37218790,2800607615,FALSE,FALSE
Bridled Tern,Onychoprion anaethetus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",438603,37025515,3041486269,TRUE,FALSE
Great-tailed Grackle,Quiscalus mexicanus,Passeriformes,Icteridae (Troupials and Allies),4318103,37019015,328081814,FALSE,TRUE
Eurasian Skylark,Alauda arvensis,Passeriformes,Alaudidae (Larks),469258,36454980,3161346400,TRUE,FALSE
Great Kiskadee,Pitangus sulphuratus,Passeriformes,Tyrannidae (Tyrant Flycatchers),484786,36043298,3141007781,TRUE,FALSE
Tufted Duck,Aythya fuligula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",900666,35898153,1329567265,TRUE,TRUE
Warbling Vireo,Vireo gilvus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",5675402,35629640,241590377,TRUE,TRUE
Red-bellied Woodpecker,Melanerpes carolinus,Piciformes,Picidae (Woodpeckers),2982807,35486803,439877983,FALSE,TRUE
Common Ringed Plover,Charadrius hiaticula,Charadriiformes,Charadriidae (Plovers and Lapwings),552333,35155029,2056142688,TRUE,TRUE
Common Merganser,Mergus merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",380860,35001347,2757414214,TRUE,FALSE
Gray-backed Tern,Onychoprion lunatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",393681,34961440,2949716960,TRUE,FALSE
Tropical Kingbird,Tyrannus melancholicus,Passeriformes,Tyrannidae (Tyrant Flycatchers),425529,34891935,3088975287,TRUE,FALSE
Fieldfare,Turdus pilaris,Passeriformes,Turdidae (Thrushes and Allies),432261,34885231,2653598059,TRUE,FALSE
Common Buzzard,Buteo buteo,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",504624,34850094,2584025628,TRUE,TRUE
Common Snipe,Gallinago gallinago,Charadriiformes,Scolopacidae (Sandpipers and Allies),382384,34738195,3201598564,TRUE,FALSE
Ferruginous Duck,Aythya nyroca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",426079,34714594,2719733911,TRUE,TRUE
Northern Gannet,Morus bassanus,Suliformes,Sulidae (Boobies and Gannets),469289,34544376,2819824612,TRUE,FALSE
Golden-crowned Sparrow,Zonotrichia atricapilla,Passeriformes,Passerellidae (New World Sparrows),507298,34418288,2721937166,TRUE,TRUE
Village Weaver,Ploceus cucullatus,Passeriformes,Ploceidae (Weavers and Allies),403002,34406501,2562671092,TRUE,FALSE
Redwing,Turdus iliacus,Passeriformes,Turdidae (Thrushes and Allies),415967,34380367,2868588829,TRUE,FALSE
Black Skimmer,Rynchops niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",437432,34345427,2758435067,TRUE,FALSE
Eared Grebe,Podiceps nigricollis,Podicipediformes,Podicipedidae (Grebes),475473,34341639,2655051191,TRUE,FALSE
Caspian Tern,Hydroprogne caspia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",367552,34293664,2992509182,TRUE,FALSE
Parasitic Jaeger,Stercorarius parasiticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),340091,34201376,3000357129,TRUE,FALSE
Short-tailed Shearwater,Ardenna tenuirostris,Procellariiformes,Procellariidae (Shearwaters and Petrels),439838,34137200,2773632606,FALSE,FALSE
Yellow-browed Warbler,Phylloscopus inornatus,Passeriformes,Phylloscopidae (Leaf Warblers),373240,34131955,3032672767,TRUE,FALSE
King Penguin,Aptenodytes patagonicus,Sphenisciformes,Spheniscidae (Penguins),468981,34032838,2748310637,FALSE,FALSE
Blackburnian Warbler,Setophaga fusca,Passeriformes,Parulidae (New World Warblers),638464,33974706,1778234287,FALSE,TRUE
Spotted Dove,Streptopelia chinensis,Columbiformes,Columbidae (Pigeons and Doves),369899,33939591,3089768740,FALSE,FALSE
Blue-winged Teal,Spatula discors,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",411047,33909591,2911421943,TRUE,FALSE
American Wigeon,Mareca americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",479935,33830766,2517019797,TRUE,FALSE
Little Tern,Sternula albifrons,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",389780,33575343,2809523459,TRUE,FALSE
Great Black-backed Gull,Larus marinus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",411156,33499895,3048294160,TRUE,FALSE
Wilson's Storm-Petrel,Oceanites oceanicus,Procellariiformes,Oceanitidae (Southern Storm-Petrels),365493,33494824,2791337592,FALSE,FALSE
Eurasian Magpie,Pica pica,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",399862,33377656,2608177216,TRUE,FALSE
Pied Avocet,Recurvirostra avosetta,Charadriiformes,Recurvirostridae (Stilts and Avocets),426724,33287699,2529643418,TRUE,FALSE
Red Crossbill,Loxia curvirostra,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",4132902,33051248,250691614,TRUE,TRUE
Eastern Towhee,Pipilo erythrophthalmus,Passeriformes,Passerellidae (New World Sparrows),3904431,33040908,278436717,FALSE,TRUE
Orchard Oriole,Icterus spurius,Passeriformes,Icteridae (Troupials and Allies),1506769,32974429,771336137,FALSE,TRUE
Eurasian Oystercatcher,Haematopus ostralegus,Charadriiformes,Haematopodidae (Oystercatchers),821320,32888212,1438053199,TRUE,TRUE
Wilson's Phalarope,Phalaropus tricolor,Charadriiformes,Scolopacidae (Sandpipers and Allies),465955,32852008,2707361652,TRUE,FALSE
Common Crane,Grus grus,Gruiformes,Gruidae (Cranes),409385,32822521,2534471599,TRUE,FALSE
Hooded Crow,Corvus cornix,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",443704,32765049,2794923165,FALSE,FALSE
Greater Short-toed Lark,Calandrella brachydactyla,Passeriformes,Alaudidae (Larks),425837,32732592,2862617563,TRUE,FALSE
Black Swan,Cygnus atratus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",379517,32603918,2622388211,TRUE,FALSE
Little Ringed Plover,Charadrius dubius,Charadriiformes,Charadriidae (Plovers and Lapwings),384161,32579923,2873763252,TRUE,FALSE
Sanderling,Calidris alba,Charadriiformes,Scolopacidae (Sandpipers and Allies),514817,32522051,2138804371,TRUE,TRUE
American Flamingo,Phoenicopterus ruber,Phoenicopteriformes,Phoenicopteridae (Flamingos),328261,32497706,2707291407,TRUE,FALSE
Rufous-collared Sparrow,Zonotrichia capensis,Passeriformes,Passerellidae (New World Sparrows),412665,32377124,2498443753,FALSE,FALSE
Ruddy Ground-Dove,Columbina talpacoti,Columbiformes,Columbidae (Pigeons and Doves),348262,32374526,2677698379,TRUE,FALSE
Yellow-legged Gull,Larus michahellis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",380626,32174330,2667230188,TRUE,FALSE
Bonaparte's Gull,Chroicocephalus philadelphia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",449297,31849163,2494366460,TRUE,FALSE
South Polar Skua,Stercorarius maccormicki,Charadriiformes,Stercorariidae (Skuas and Jaegers),361919,31456159,2901734113,TRUE,FALSE
Red-breasted Merganser,Mergus serrator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",470094,31258494,2205220535,TRUE,TRUE
Yellow-bellied Flycatcher,Empidonax flaviventris,Passeriformes,Tyrannidae (Tyrant Flycatchers),368568,30776995,2416841552,TRUE,TRUE
Double-crested Cormorant,Phalacrocorax auritus,Suliformes,Phalacrocoracidae (Cormorants and Shags),397292,30734496,2149082202,TRUE,FALSE
Bluethroat,Luscinia svecica,Passeriformes,Muscicapidae (Old World Flycatchers),335304,30584394,2519640989,TRUE,TRUE
Black Scoter,Melanitta americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",358263,30211842,2490864187,TRUE,FALSE
Thick-billed Murre,Uria lomvia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",324437,30207441,2449158824,FALSE,FALSE
Gray Kingbird,Tyrannus dominicensis,Passeriformes,Tyrannidae (Tyrant Flycatchers),395856,30207177,2079402668,FALSE,TRUE
Red-billed Tropicbird,Phaethon aethereus,Phaethontiformes,Phaethontidae (Tropicbirds),327638,30177130,2603272902,TRUE,FALSE
Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",347184,29948168,2454816891,TRUE,FALSE
Red-breasted Nuthatch,Sitta canadensis,Passeriformes,Sittidae (Nuthatches),4529295,29653605,203810073,TRUE,TRUE
Gull-billed Tern,Gelochelidon nilotica,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",333025,29635091,2519786030,TRUE,FALSE
Vesper Sparrow,Pooecetes gramineus,Passeriformes,Passerellidae (New World Sparrows),3220998,29481350,292055570,TRUE,TRUE
Ovenbird,Seiurus aurocapilla,Passeriformes,Parulidae (New World Warblers),2021206,29409574,409718361,TRUE,TRUE
Brown Pelican,Pelecanus occidentalis,Pelecaniformes,Pelecanidae (Pelicans),338980,29369405,2274463660,TRUE,FALSE
Southern Lapwing,Vanellus chilensis,Charadriiformes,Charadriidae (Plovers and Lapwings),361831,29271056,2574648736,TRUE,FALSE
Great Frigatebird,Fregata minor,Suliformes,Fregatidae (Frigatebirds),295172,29216720,2613205302,FALSE,FALSE
Lesser Sand-Plover,Charadrius mongolus,Charadriiformes,Charadriidae (Plovers and Lapwings),356367,29188722,2623520797,TRUE,FALSE
Terek Sandpiper,Xenus cinereus,Charadriiformes,Scolopacidae (Sandpipers and Allies),313747,29088032,2501904741,TRUE,FALSE
Purple Martin,Progne subis,Passeriformes,Hirundinidae (Swallows),6143667,28647874,129097802,TRUE,TRUE
Scissor-tailed Flycatcher,Tyrannus forficatus,Passeriformes,Tyrannidae (Tyrant Flycatchers),1153845,28632524,795057068,FALSE,TRUE
Shiny Cowbird,Molothrus bonariensis,Passeriformes,Icteridae (Troupials and Allies),402525,28507866,2222379767,TRUE,FALSE
Downy Woodpecker,Dryobates pubescens,Piciformes,Picidae (Woodpeckers),4171675,28459924,190237758,TRUE,TRUE
Tree Pipit,Anthus trivialis,Passeriformes,Motacillidae (Wagtails and Pipits),320109,28396612,2641343713,TRUE,FALSE
Common Rosefinch,Carpodacus erythrinus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",313379,28260994,2449102708,TRUE,FALSE
African Palm-Swift,Cypsiurus parvus,Caprimulgiformes,Apodidae (Swifts),324487,28243826,2400059271,TRUE,FALSE
Black-naped Tern,Sterna sumatrana,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",325245,28227921,2619115329,TRUE,FALSE
Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",378078,27987404,2222462192,TRUE,FALSE
Nazca Booby,Sula granti,Suliformes,Sulidae (Boobies and Gannets),328159,27922745,2350182339,TRUE,FALSE
Red-whiskered Bulbul,Pycnonotus jocosus,Passeriformes,Pycnonotidae (Bulbuls),305480,27878183,2465500043,TRUE,FALSE
Carolina Chickadee,Poecile carolinensis,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",1678241,27814198,458200783,FALSE,TRUE
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",360227,27814085,2366417111,TRUE,FALSE
Common Cuckoo,Cuculus canorus,Cuculiformes,Cuculidae (Cuckoos),347208,27722550,2623923850,TRUE,FALSE
Summer Tanager,Piranga rubra,Passeriformes,Cardinalidae (Cardinals and Allies),1210113,27509048,620990920,TRUE,TRUE
Ruddy Duck,Oxyura jamaicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",304211,27465919,2560957847,TRUE,FALSE
Spotted Flycatcher,Muscicapa striata,Passeriformes,Muscicapidae (Old World Flycatchers),303550,27463176,2530827877,TRUE,FALSE
Swamp Sparrow,Melospiza georgiana,Passeriformes,Passerellidae (New World Sparrows),780066,27350684,773342922,TRUE,TRUE
Gray Heron,Ardea cinerea,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",772296,27339046,958703877,TRUE,TRUE
Saffron Finch,Sicalis flaveola,Passeriformes,Thraupidae (Tanagers and Allies),343954,27238835,2354029795,TRUE,FALSE
Greater Yellowlegs,Tringa melanoleuca,Charadriiformes,Scolopacidae (Sandpipers and Allies),312620,27196692,2247159410,TRUE,FALSE
Royal Tern,Thalasseus maximus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",329436,27184831,1995950724,TRUE,FALSE
Common Tern,Sterna hirundo,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",528433,27073614,1143434102,TRUE,TRUE
Slender-billed Gull,Chroicocephalus genei,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",359851,27058725,2114347191,TRUE,FALSE
Egyptian Goose,Alopochen aegyptiaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",283147,27045152,2223435863,TRUE,FALSE
Black-and-white Warbler,Mniotilta varia,Passeriformes,Parulidae (New World Warblers),3508984,27029336,207117532,TRUE,TRUE
Bananaquit,Coereba flaveola,Passeriformes,Thraupidae (Tanagers and Allies),308578,26976384,2473700487,TRUE,FALSE
White-winged Parakeet,Brotogeris versicolurus,Psittaciformes,Psittacidae (New World and African Parrots),349835,26862073,2261908533,TRUE,FALSE
Pale Sand Martin,Riparia diluta,Passeriformes,Hirundinidae (Swallows),323750,26662342,2262960916,TRUE,FALSE
Blue-cheeked Bee-eater,Merops persicus,Coraciiformes,Meropidae (Bee-eaters),306743,26646605,2483539545,TRUE,FALSE
Eurasian Curlew,Numenius arquata,Charadriiformes,Scolopacidae (Sandpipers and Allies),720702,26640376,918393817,TRUE,TRUE
Gentoo Penguin,Pygoscelis papua,Sphenisciformes,Spheniscidae (Penguins),338903,26613032,2209456072,FALSE,FALSE
Red-throated Pipit,Anthus cervinus,Passeriformes,Motacillidae (Wagtails and Pipits),277308,26285626,2388712232,TRUE,FALSE
Magnificent Frigatebird,Fregata magnificens,Suliformes,Fregatidae (Frigatebirds),328493,26183427,2234211219,TRUE,FALSE
Common Goldeneye,Bucephala clangula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",570168,26171669,1186706583,TRUE,TRUE
White-faced Ibis,Plegadis chihi,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),355963,26169742,2174889436,FALSE,FALSE
Black Tern,Chlidonias niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",314519,26164458,2299859102,TRUE,FALSE
Large-billed Crow,Corvus macrorhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",293203,26127713,2249640484,TRUE,FALSE
Eastern Spot-billed Duck,Anas zonorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",338686,26030936,1999767339,TRUE,FALSE
Gray Teal,Anas gracilis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",404523,25991316,1777577031,TRUE,FALSE
Eurasian Siskin,Spinus spinus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",347769,25913108,1958874198,TRUE,FALSE
Lesser Scaup,Aythya affinis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",343962,25895447,2301179503,TRUE,FALSE
Blue-and-white Swallow,Pygochelidon cyanoleuca,Passeriformes,Hirundinidae (Swallows),303758,25869572,2146248209,TRUE,FALSE
Eurasian Blackcap,Sylvia atricapilla,Passeriformes,Sylviidae (Sylviid Warblers),286290,25867223,2178519979,TRUE,FALSE
Lesser Whitethroat,Sylvia curruca,Passeriformes,Sylviidae (Sylviid Warblers),277601,25679850,2279252769,TRUE,FALSE
Surf Scoter,Melanitta perspicillata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",339621,25643719,2286948881,TRUE,FALSE
Winter Wren,Troglodytes hiemalis,Passeriformes,Troglodytidae (Wrens),441651,25583118,1376119643,TRUE,TRUE
Greater Sand-Plover,Charadrius leschenaultii,Charadriiformes,Charadriidae (Plovers and Lapwings),287991,25542686,2096101661,TRUE,FALSE
Dusky Warbler,Phylloscopus fuscatus,Passeriformes,Phylloscopidae (Leaf Warblers),256037,25276261,2113893402,TRUE,FALSE
Broad-winged Hawk,Buteo platypterus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",569922,25187241,1086179511,TRUE,TRUE
American Tree Sparrow,Spizelloides arborea,Passeriformes,Passerellidae (New World Sparrows),895355,25128656,746018865,TRUE,TRUE
European Greenfinch,Chloris chloris,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",342661,24909193,2049056143,TRUE,FALSE
Marsh Sandpiper,Tringa stagnatilis,Charadriiformes,Scolopacidae (Sandpipers and Allies),286269,24854385,2285706705,TRUE,FALSE
White Stork,Ciconia ciconia,Ciconiiformes,Ciconiidae (Storks),302157,24808762,2238372782,TRUE,FALSE
Eurasian Hoopoe,Upupa epops,Bucerotiformes,Upupidae (Hoopoes),271962,24718278,2169837983,TRUE,FALSE
Purple Sandpiper,Calidris maritima,Charadriiformes,Scolopacidae (Sandpipers and Allies),282389,24702424,2090402276,TRUE,FALSE
Intermediate Egret,Ardea intermedia,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",298379,24656085,2145856313,TRUE,FALSE
California Gull,Larus californicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",283555,24562637,2241834566,TRUE,FALSE
Pied Crow,Corvus albus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",257298,24543518,2234143028,TRUE,FALSE
Bufflehead,Bucephala albeola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",288466,24445274,2064314432,TRUE,FALSE
Great Reed Warbler,Acrocephalus arundinaceus,Passeriformes,Acrocephalidae (Reed Warblers and Allies),253523,24440618,2163711072,TRUE,FALSE
Gray-breasted Martin,Progne chalybea,Passeriformes,Hirundinidae (Swallows),320430,24423851,1802080253,TRUE,FALSE
Striated Heron,Butorides striata,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",304006,24401106,1991556457,TRUE,FALSE
Silver Gull,Chroicocephalus novaehollandiae,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",324581,24355851,2008035089,TRUE,FALSE
Killdeer,Charadrius vociferus,Charadriiformes,Charadriidae (Plovers and Lapwings),278669,24346920,2345678088,TRUE,FALSE
Short-billed Dowitcher,Limnodromus griseus,Charadriiformes,Scolopacidae (Sandpipers and Allies),261075,24007021,2002905113,TRUE,FALSE
Tree Swallow,Tachycineta bicolor,Passeriformes,Hirundinidae (Swallows),8994577,24001900,63855569,TRUE,TRUE
Common Waxbill,Estrilda astrild,Passeriformes,Estrildidae (Waxbills and Allies),276210,23961392,2193764684,TRUE,FALSE
Bar-tailed Godwit,Limosa lapponica,Charadriiformes,Scolopacidae (Sandpipers and Allies),400119,23949789,1569387179,TRUE,TRUE
Greater Scaup,Aythya marila,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",319502,23833080,1748501135,TRUE,TRUE
Northern Waterthrush,Parkesia noveboracensis,Passeriformes,Parulidae (New World Warblers),2483532,23764476,245740147,TRUE,TRUE
Willow Ptarmigan,Lagopus lagopus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",1869873,23709644,298484717,TRUE,TRUE
Bronze Mannikin,Spermestes cucullata,Passeriformes,Estrildidae (Waxbills and Allies),263022,23683308,1957314172,TRUE,FALSE
Least Tern,Sternula antillarum,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",269992,23645395,1911529447,TRUE,FALSE
Red-throated Loon,Gavia stellata,Gaviiformes,Gaviidae (Loons),262079,23610546,2304102019,TRUE,FALSE
Common Greenshank,Tringa nebularia,Charadriiformes,Scolopacidae (Sandpipers and Allies),292425,23573575,1853726182,TRUE,TRUE
Harlequin Duck,Histrionicus histrionicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",242102,23523101,1887501028,TRUE,FALSE
Chestnut Munia,Lonchura atricapilla,Passeriformes,Estrildidae (Waxbills and Allies),288652,23512255,1791071222,TRUE,FALSE
Brewer's Sparrow,Spizella breweri,Passeriformes,Passerellidae (New World Sparrows),564967,23406889,979932685,FALSE,TRUE
Fox Sparrow,Passerella iliaca,Passeriformes,Passerellidae (New World Sparrows),3092008,23325720,184422277,TRUE,TRUE
Long-billed Dowitcher,Limnodromus scolopaceus,Charadriiformes,Scolopacidae (Sandpipers and Allies),267142,23278849,2058450311,TRUE,FALSE
Red-necked Grebe,Podiceps grisegena,Podicipediformes,Podicipedidae (Grebes),273751,23110387,1998324046,TRUE,TRUE
Demoiselle Crane,Anthropoides virgo,Gruiformes,Gruidae (Cranes),256533,23038462,1974572875,TRUE,FALSE
Sharp-tailed Sandpiper,Calidris acuminata,Charadriiformes,Scolopacidae (Sandpipers and Allies),284722,22985184,2202637313,TRUE,FALSE
